county,precinct,county_prec,obama,romney,clinton,trump,pct_obama,pct_romney,pct_clinton,pct_trump,berkley,heller,cortezmasto,heck,pct_berkley,pct_heller,pct_cortezmasto,pct_heck,pct_latino,votes_2012,votes_2016
003,1038,003_1038,133,241,151,199,0.3527851,0.6392573,0.4229692,0.557423,134,231,139,198,0.3554377,0.6127321,0.3893557,0.5546219,0.04477611940298507,377,357
003,1039,003_1039,219,653,293,557,0.2497149,0.7445838,0.3310734,0.6293786,236,601,272,563,0.2690992,0.6852908,0.3073446,0.6361582,0.04578096947935368,877,885
003,1063,003_1063,474,449,467,470,0.5096774,0.4827957,0.4642147,0.4671968,417,406,465,439,0.4483871,0.4365591,0.4622266,0.4363817,0.1511627906976744,930,1006
003,1067,003_1067,NA,NA,19,90,NA,NA,0.1623932,0.7692308,NA,NA,25,77,NA,NA,0.2136752,0.6581197,0.04712041884816754,NA,117
003,1072,003_1072,169,277,60,142,0.3650108,0.5982721,0.2739726,0.6484018,132,252,66,125,0.2850972,0.5442765,0.3013699,0.5707763,0.05093833780160858,463,219
003,1074,003_1074,491,671,430,744,0.4105351,0.5610368,0.3495935,0.6048781,404,616,445,651,0.3377926,0.5150502,0.3617886,0.5292683,0.07917297024710035,1196,1230
003,1137,003_1137,461,349,431,398,0.559466,0.4235437,0.4908884,0.4533029,388,348,429,375,0.4708738,0.4223301,0.4886105,0.4271071,0.13485804416403785,824,878
003,1302,003_1302,623,345,690,446,0.6337742,0.3509664,0.5688376,0.3676834,513,338,663,404,0.5218718,0.3438454,0.5465787,0.3330585,0.1379495437466452,983,1213
003,1303,003_1303,504,349,527,395,0.576659,0.3993135,0.5405128,0.4051282,428,343,499,371,0.4897025,0.3924485,0.5117949,0.3805128,0.16082474226804125,874,975
003,1304,003_1304,887,544,362,219,0.6067032,0.372093,0.5764331,0.3487261,713,558,352,197,0.4876881,0.381669,0.5605096,0.3136943,0.13470533208606175,1462,628
003,1307,003_1307,585,534,679,554,0.5104712,0.4659686,0.5179253,0.4225782,493,542,620,565,0.430192,0.4729494,0.4729214,0.4309687,0.09859154929577464,1146,1311
003,1309,003_1309,NA,NA,3,0,NA,NA,1.0,0.0,NA,NA,3,0,NA,NA,1.0,0.0,0.0,NA,3
003,1318,003_1318,606,240,620,304,0.7071179,0.2800467,0.6307223,0.3092574,498,251,571,292,0.5810968,0.2928821,0.5808749,0.2970499,0.09254327563249001,857,983
003,1327,003_1327,727,387,744,414,0.6473731,0.3446127,0.5937749,0.330407,595,379,726,392,0.5298308,0.3374889,0.5794094,0.3128492,0.19759277833500502,1123,1253
003,1328,003_1328,503,296,616,355,0.6164216,0.3627451,0.5940212,0.3423336,409,297,593,343,0.5012255,0.3639706,0.5718418,0.3307618,0.21954314720812182,816,1037
003,1330,003_1330,532,576,595,667,0.4695499,0.5083848,0.4483798,0.5026375,432,567,586,608,0.3812886,0.5004413,0.4415976,0.4581763,0.12831168831168832,1133,1327
003,1331,003_1331,615,293,586,406,0.654952,0.3120341,0.5602294,0.3881453,510,286,569,360,0.543131,0.3045793,0.5439771,0.3441682,0.19001085776330076,939,1046
003,1332,003_1332,229,163,262,188,0.5739349,0.4085213,0.5515789,0.3957895,196,162,256,154,0.4912281,0.406015,0.5389473,0.3242105,0.15033557046979865,399,475
003,1333,003_1333,455,394,432,425,0.5290698,0.4581395,0.4789357,0.4711752,399,360,418,401,0.4639535,0.4186046,0.4634146,0.4445676,0.12769353551476456,860,902
003,1334,003_1334,613,463,622,477,0.5587967,0.4220602,0.537133,0.4119171,536,438,587,458,0.4886053,0.3992707,0.5069085,0.3955095,0.19244823386114496,1097,1158
003,1335,003_1335,554,436,566,504,0.5474308,0.43083,0.4973638,0.4428822,462,416,551,458,0.4565217,0.4110672,0.4841828,0.4024605,0.17026683608640406,1012,1138
003,1336,003_1336,316,223,428,305,0.575592,0.4061931,0.5508366,0.3925354,255,225,416,273,0.4644809,0.4098361,0.5353925,0.3513514,0.14626865671641792,549,777
003,1337,003_1337,625,384,645,449,0.6056201,0.372093,0.5584416,0.3887446,553,360,598,412,0.5358527,0.3488372,0.5177489,0.35671,0.1368312757201646,1032,1155
003,1340,003_1340,633,282,744,417,0.6813778,0.3035522,0.5956765,0.33386710000000003,526,279,716,387,0.5662002,0.3003229,0.5732586,0.3098479,0.2191038897095027,929,1249
003,1341,003_1341,607,355,590,392,0.6162437,0.3604061,0.5539906,0.3680751,519,346,578,372,0.5269036,0.351269,0.542723,0.3492958,0.14173228346456693,985,1065
003,1342,003_1342,473,314,462,359,0.5883085,0.3905473,0.5292096,0.4112256,414,300,428,357,0.5149254,0.3731343,0.4902635,0.4089347,0.1855912294440094,804,873
003,1343,003_1343,318,345,296,390,0.4725111,0.51263,0.4082759,0.537931,277,327,305,351,0.4115899,0.4858841,0.4206896,0.4841379,0.13927855711422846,673,725
003,1344,003_1344,293,214,282,216,0.5678294,0.4147287,0.5371429,0.4114286,252,217,282,202,0.4883721,0.4205426,0.5371429,0.3847619,0.16290726817042606,516,525
003,1345,003_1345,233,195,275,195,0.5368664,0.4493088,0.5522088,0.3915663,195,193,256,174,0.4493088,0.4447004,0.5140562,0.3493976,0.13971539456662355,434,498
003,1346,003_1346,475,489,494,541,0.4832146,0.4974568,0.452381,0.4954212,417,478,479,506,0.4242116,0.4862665,0.4386447,0.46337,0.11073598919648886,983,1092
003,1348,003_1348,500,334,557,411,0.5854801,0.3911007,0.5466143,0.4033366,422,339,534,379,0.4941452,0.3969555,0.5240432,0.3719333,0.2014879107253565,854,1019
003,1349,003_1349,499,292,570,337,0.6198758,0.3627329,0.5775076,0.3414387,410,299,522,339,0.5093167,0.3714286,0.5288754,0.3434651,0.21980074719800746,805,987
003,1351,003_1351,558,254,577,291,0.6666667,0.3034647,0.6244588,0.3149351,468,262,533,291,0.5591398,0.3130227,0.5768398,0.3149351,0.2217573221757322,837,924
003,1352,003_1352,519,323,500,346,0.6048951,0.3764569,0.5537099,0.3831672,434,329,462,330,0.5058275,0.3834499,0.5116279,0.3654485,0.16918646508279336,858,903
003,1353,003_1353,701,393,699,396,0.6309631,0.3537354,0.601549,0.3407917,564,398,657,386,0.5076508,0.3582358,0.5654045,0.3321859,0.16429699842022116,1111,1162
003,1354,003_1354,302,214,349,216,0.5708885,0.4045369,0.5768595,0.3570248,260,213,338,191,0.4914934,0.4026465,0.5586777,0.3157025,0.07,529,605
003,1356,003_1356,611,378,644,426,0.6097804,0.3772455,0.5699115,0.3769912,507,368,613,405,0.505988,0.3672655,0.5424779,0.3584071,0.17643644805571676,1002,1130
